candidate	model	axis	gpu	epochs	batch_size	learningr	weight_decay	architecture	est_gpu_hours	train_config	infer_config
D01	deeponet	base	2	250	32	0.0003	0.00001	hidden 256, basis 128	4	configs/Neural_Operator/iFEM_dense48/config_train_d01.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d01.txt
D02	deeponet	hidden_channels down	1	250	32	0.0003	0.00001	hidden 128, basis 128	3	configs/Neural_Operator/iFEM_dense48/config_train_d02.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d02.txt
D03	deeponet	hidden_channels up	2	250	32	0.0003	0.00001	hidden 512, basis 128	6	configs/Neural_Operator/iFEM_dense48/config_train_d03.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d03.txt
D04	deeponet	basis_dim down	3	250	32	0.0003	0.00001	hidden 256, basis 64	4	configs/Neural_Operator/iFEM_dense48/config_train_d04.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d04.txt
D05	deeponet	basis_dim up	0	250	32	0.0003	0.00001	hidden 256, basis 256	4	configs/Neural_Operator/iFEM_dense48/config_train_d05.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d05.txt
D06	deeponet	batch_size down	1	250	16	0.0003	0.00001	hidden 256, basis 128	4	configs/Neural_Operator/iFEM_dense48/config_train_d06.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d06.txt
D07	deeponet	batch_size down	2	250	8	0.0003	0.00001	hidden 256, basis 128	4	configs/Neural_Operator/iFEM_dense48/config_train_d07.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d07.txt
D08	deeponet	training_epochs up	2	600	32	0.0003	0.00001	hidden 256, basis 128	10	configs/Neural_Operator/iFEM_dense48/config_train_d08.txt	configs/Neural_Operator/iFEM_dense48/config_infer_d08.txt
M01	meshgraphnets	base	1	250	32	0.0001	0.00001	latent 128, mp 8	3	configs/MeshGraphNets/iFEM_dense48/config_train_m01.txt	configs/MeshGraphNets/iFEM_dense48/config_infer_m01.txt
M02	meshgraphnets	message_passing_num down	0	250	32	0.0001	0.00001	latent 128, mp 4	2	configs/MeshGraphNets/iFEM_dense48/config_train_m02.txt	configs/MeshGraphNets/iFEM_dense48/config_infer_m02.txt
M03	meshgraphnets	message_passing_num down	2	250	32	0.0001	0.00001	latent 128, mp 2	2	configs/MeshGraphNets/iFEM_dense48/config_train_m03.txt	configs/MeshGraphNets/iFEM_dense48/config_infer_m03.txt
M04	meshgraphnets	message_passing_num up	3	250	32	0.0001	0.00001	latent 128, mp 16	4	configs/MeshGraphNets/iFEM_dense48/config_train_m04.txt	configs/MeshGraphNets/iFEM_dense48/config_infer_m04.txt
